team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Akron,Miami (OH),63,70,2015-03-03,0,False,True,95.5,106.1,66.2,.250,.519,.541,47.6,39.1,12.1,13.9,.548,23.6,36.7,.115,.404,16.0,57.6,.538
Akron,Kent State,77,79,2015-03-06,0,False,True,124.2,127.4,62.1,.241,.500,.596,49.2,55.6,1.6,6.1,.586,11.0,30.0,.155,.574,8.6,69.0,.532
Akron,Northern Illinois,76,52,2015-03-09,0,False,False,118.8,81.3,63.9,.294,.588,.654,53.8,53.8,7.8,13.9,.647,21.6,39.1,.196,.422,19.3,65.5,.176
Akron,Western Michigan,58,45,2015-03-11,0,True,False,96.7,75.0,60.0,.378,.644,.546,52.3,58.8,5.0,17.5,.511,15.9,19.2,.267,.278,9.7,74.4,.278
Akron,Kent State,53,51,2015-03-12,0,True,False,94.6,91.1,55.7,.511,.511,.454,44.4,50.0,1.8,14.3,.394,4.9,18.8,.340,.365,7.7,71.0,.250
Akron,Buffalo,59,68,2015-03-13,0,True,False,85.5,98.6,69.1,.353,.588,.495,42.5,47.4,4.3,2.1,.441,19.0,11.8,.275,.377,9.4,65.2,.361
Alabama A&M,Dayton,52,76,2014-11-14,0,False,True,81.3,118.8,63.7,.367,.388,.452,37.3,62.5,4.7,9.7,.398,17.3,21.2,.265,.549,14.5,57.7,.392
Alabama A&M,Georgia Tech,46,66,2014-11-18,0,False,True,70.8,101.5,64.8,.255,.553,.436,33.3,47.1,7.7,10.0,.436,27.5,23.3,.106,.455,16.9,42.4,.268
Alabama A&M,Jacksonville State,61,67,2014-11-25,0,False,False,84.7,93.1,72.2,.404,.316,.449,55.1,76.2,9.7,8.3,.404,21.9,37.8,.263,.473,16.4,75.0,.273
Alabama A&M,Southeast Missouri State,51,85,2014-11-29,0,False,True,68.0,113.3,75.2,.854,.250,.378,42.5,26.7,5.3,12.8,.323,22.0,28.6,.417,.483,12.0,57.9,.475
Alabama A&M,Bowling Green,47,64,2014-12-06,0,False,True,85.5,116.4,54.5,.188,.417,.450,47.1,76.5,9.1,3.0,.427,16.1,29.6,.125,.560,12.7,66.7,.160
Alabama A&M,Virginia Tech,55,65,2014-12-14,0,False,True,91.7,108.3,59.6,.296,.426,.446,61.5,60.0,11.7,2.9,.417,22.6,57.6,.185,.529,11.5,65.6,.192
Alabama A&M,Marquette,49,83,2014-12-19,0,False,True,74.2,125.8,65.5,.333,.412,.415,40.7,61.1,9.1,2.8,.392,20.2,20.6,.176,.663,14.5,75.0,.367
Alabama A&M,Western Michigan,62,71,2014-12-22,0,False,True,98.4,112.7,62.6,.128,.447,.622,60.0,79.2,4.8,0.0,.617,28.6,40.0,.085,.607,19.3,80.0,.476
Alabama A&M,Murray State,39,76,2014-12-30,0,False,True,66.1,128.8,58.6,.400,.289,.364,36.9,63.6,6.8,6.3,.289,18.3,14.7,.289,.609,8.7,61.3,.164
Alabama A&M,Jackson State,67,70,2015-01-03,0,False,False,104.7,109.4,64.1,.617,.447,.551,42.3,71.4,6.3,8.8,.511,17.6,31.0,.404,.500,15.0,56.5,.400
Alabama A&M,Grambling,67,46,2015-01-05,0,False,False,115.5,79.3,57.8,.367,.347,.582,52.8,70.8,8.6,2.6,.541,13.5,38.1,.286,.383,20.3,62.5,.213
