Rank,Name,EM,ORtg,DRtg
122,Kent State,4.159010962606089,103.32,99.16
123,Nebraska,3.916910853606673,96.74,92.82
124,UL Lafayette,3.8150629769806343,101.25,97.44
125,Northeastern,3.8011528188177763,104.81,101.01
126,Middle Tennessee,3.687661598114161,99.73,96.04
127,Belmont,3.665960171887498,107.76,104.09
128,Iona,3.602195496054584,107.34,103.74
129,Auburn,3.5738681314946703,103.09,99.52
130,Eastern Michigan,3.501808181095136,97.94,94.44
131,North Florida,3.46394530167931,104.37,100.9
132,William & Mary,3.2844887188684737,109.36,106.07
133,USC,3.0873230067699353,97.77,94.68
134,Western Michigan,3.0836455517857644,106.64,103.56
135,Loyola (CHI),3.0824966796336213,101.45,98.37
136,Massachusetts,3.0699143492379335,101.41,98.34
137,Indiana State,2.9941151873575365,99.31,96.32
138,Charlotte,2.6946592059302574,105.8,103.11
139,San Francisco,2.59299101881728,100.99,98.4
140,Long Beach State,2.57196369459448,97.91,95.33
141,Mississippi State,2.2786728177836224,97.02,94.74
142,Texas Tech,2.238593259835099,99.86,97.63
143,New Mexico,2.1867907015171184,98.12,95.93
144,Manhattan,2.157481668266712,99.21,97.05
145,Evansville,2.124030799279147,99.97,97.84
146,Wake Forest,2.0947185366206256,100.42,98.33
147,Eastern Kentucky,2.0857762048558257,102.15,100.06
148,Coastal Carolina,2.0302170581852934,101.57,99.54
149,Eastern Washington,1.8250275830078095,108.31,106.49
150,Georgia Southern,1.7640360773054198,97.43,95.67
151,Stony Brook,1.6578356046523837,98.28,96.62
152,DePaul,1.6289307042221637,103.52,101.9
153,Albany,1.6159680409288697,102.62,101.01
154,UT Martin,1.6033134067858654,105.81,104.2
155,Morehead State,1.1993069688918325,100.78,99.58
156,Washington State,1.1841973644560895,106.37,105.18
157,Western Kentucky,1.1770976362804717,101.8,100.62
158,UNC Wilmington,1.175357189852214,98.44,97.26
159,Canisius,0.9609772741245877,99.75,98.79
160,Oakland,0.7235697660778015,106.64,105.91
161,Cal Poly,0.6489960390157066,99.21,98.56
162,North Dakota State,0.5231909918662652,98.12,97.6
163,South Carolina Upstate,0.49752101527029424,101.71,101.21
164,Princeton,0.4165873018833963,104.41,104.0
165,High Point,0.34657445976955614,103.22,102.88
166,Northern Illinois,0.33352095354145206,99.74,99.4
167,Chattanooga,0.0074442274511241635,99.25,99.24
168,Montana,-0.012751347097008647,101.54,101.56
169,Saint Joseph's,-0.07329249169207941,97.01,97.09
170,Winthrop,-0.9084818798339924,100.62,101.53
171,Dartmouth,-1.062254756282364,98.0,99.07
172,Fresno State,-1.0702337401367856,100.36,101.43
173,Florida Gulf Coast,-1.110421409608577,97.49,98.6
174,Mercer,-1.151375232691798,98.93,100.08
175,Detroit Mercy,-1.2090109114442384,101.49,102.7
176,Air Force,-1.2284112721131137,104.59,105.82
177,NJIT,-1.2481884841709032,98.58,99.83
178,Robert Morris,-1.2813915486932856,100.99,102.27
179,Columbia,-1.524318359457915,102.83,104.35
180,Fort Wayne,-1.59408880253347,103.42,105.02
181,Houston,-1.616525617760452,99.86,101.48
182,Rider,-1.6197254797381078,96.58,98.2
183,Quinnipiac,-1.6255408956223292,97.58,99.2
184,St Francis (BKN),-1.633242403083294,98.06,99.69
185,Virginia Tech,-1.8983705844177834,104.36,106.26
186,Santa Clara,-1.9221241860519527,101.54,103.47
187,Saint Peter's,-2.0021338584877313,96.93,98.93
188,Monmouth,-2.0838237410644638,94.96,97.04
189,Rice,-2.240045504021076,100.28,102.52
190,Texas A&M-CC,-2.2481060919336073,97.66,99.91
191,Colgate,-2.391184080754705,103.75,106.14
192,Fordham,-2.57438674896364,98.85,101.43
193,Louisiana Monroe,-2.625771376435736,94.73,97.36
194,George Mason,-2.683884600826673,98.88,101.56
195,New Hampshire,-2.8985687689900104,95.63,98.53
196,Missouri,-3.152678204646243,97.38,100.53
197,Sacramento State,-3.340314204467745,103.03,106.37
198,UT San Antonio,-3.4630578552372455,102.21,105.67
199,Charleston Southern,-3.7084156218622155,101.85,105.56
200,Milwaukee,-3.8389726472930334,98.34,102.18
201,Miami (OH),-3.9451403454239795,100.24,104.18
202,Northern Kentucky,-3.9525854205264253,102.28,106.23
203,Rutgers,-3.9844084285903776,94.33,98.31
204,Cornell,-3.99462714941091,92.07,96.06
205,Duquesne,-4.0467801088475355,104.07,108.11
206,Little Rock,-4.081908820038805,103.03,107.11
207,Lehigh,-4.126260477629586,93.9,98.02
208,James Madison,-4.1358279539687715,101.64,105.78
209,UT-Arlington,-4.457043977890592,98.17,102.63
210,UC Riverside,-4.483247411614428,94.72,99.2
211,North Texas,-4.495298848659779,96.45,100.94
