Name,PPG,TPG,opp3,FPG,TOF,TO,REB,FTPG,perc3
Northern Illinois,65.7,5,34.7,19.1,13.9,14.2,3.6,16.66666667,31.7
Northern Iowa,65.2,7.3,37.6,14.51428571,11.17142857,10.37142857,2.3,13.48571429,39.8
Northern Kentucky,70.6,7.5,34.7,20.4,10.83333333,11.6,0.2,11.1,34.9
Northwestern,63.5,7.1,34.7,17.90625,9.53125,11.15625,-0.7,10.90625,35.9
Northwestern St.,84,8.3,34.7,18.625,15.46875,12.25,-5.7,16.59375,35.7
Notre Dame,78,7.9,34.8,14.21052632,11.18421053,9.394736842,-0.3,14.76315789,39
Oakland,74.2,7.8,34.8,17.33333333,11.09090909,12.60606061,0.1,14.45454545,36.2
Ohio,67.6,7.2,34.8,17.06666667,10.43333333,12.73333333,-2.4,11.9,34.1
Ohio St.,75.3,6.7,34.8,16.08571429,14.37142857,11.31428571,2.1,13.45714286,37
Oklahoma,71.5,6.7,34.8,16.28571429,13.37142857,11.97142857,1.6,14.14285714,34.3
Oklahoma St.,67.5,7.1,34.9,19.1875,13.6875,12.25,-1.9,14.625,34.9
Old Dominion,64.9,5.9,34.9,17.65714286,12.88571429,10.77142857,5.2,11.25714286,32.5
Oral Roberts,69.9,6,34.9,18.58823529,13.05882353,11.64705882,-0.5,16.94117647,35.7
Oregon,75.4,7.3,35,18.19444444,11.47222222,11.69444444,1.3,12.94444444,36.2
Oregon St.,60.9,5.2,35,19.03225806,14.70967742,11.77419355,-2.3,12.80645161,32.3
Pacific,64.4,6.5,35.1,21.51612903,10.22580645,12.58064516,2.6,13.93548387,34.6
Penn,60.3,5.5,35.1,19.89285714,11.5,14.96428571,0.5,11.92857143,34.6
Penn St.,66.9,6.7,35.1,20.35294118,11.91176471,12.17647059,-0.4,13.41176471,33.4
Pepperdine,63.1,4.5,35.1,17.5625,12.25,12.34375,-1.2,14.59375,31.3
Pittsburgh,67,4.8,35.2,17.82352941,10.82352941,9.882352941,1.9,13.08823529,33.9
Portland,70.2,6.5,35.2,18.48484848,11.39393939,12.18181818,3.8,14.51515152,37.6
Portland St.,71.8,6.7,35.2,17.62068966,12.37931034,11.17241379,-3.2,15.31034483,38.1
Prairie View A&M,67,5.4,35.2,21.6969697,16.75757576,14.27272727,-6,11.81818182,33.3
Presbyterian,61.8,4.3,35.2,15.84375,10.90625,12.96875,-1.1,11.25,32
Princeton,68.9,8.4,35.3,18.73333333,12.03333333,12.2,-1.4,15.6,37.7
Providence,69.7,5,35.3,18.47058824,13,11.97058824,4,15.97058824,31.3
Purdue,69.8,5.7,35.3,18.88235294,11.58823529,13.05882353,4.8,15.41176471,32.7
Quinnipiac,69.7,5.5,35.3,19,9.533333333,13.86666667,12.4,16.56666667,30.7
Radford,72.8,6.2,35.3,17.97058824,12.70588235,12,2.9,14.11764706,33.4
Rhode Island,67.6,4.4,35.3,21.03030303,14.57575758,13.72727273,3.1,16.12121212,30.3
Rice,64.1,9,35.4,18.9375,12.625,14.34375,-1.6,12.65625,36.2
Richmond,66.1,6.6,35.4,17,13.34285714,9.885714286,-5.9,11.82857143,34
Rider,65.2,6.1,35.4,17.90909091,14.12121212,12.51515152,0.5,11.66666667,33.4
Robert Morris,69,6.3,35.4,18.57142857,14.62857143,13.34285714,-2.9,13.85714286,37.5
Rutgers,59.3,4.8,35.4,16.5625,11.8125,13.03125,-1.4,11.625,29.5
Sacramento St.,71,6.3,35.5,17.06060606,12.54545455,10.75757576,-2,13.6969697,40.8
Sacred Heart,73.8,5.3,35.5,18.375,13.21875,13.71875,1.6,13.84375,31.9
Saint Joseph's,61.7,5.4,35.5,16.87096774,12.35483871,12.48387097,0.1,11.90322581,29.9
Saint Louis,59.8,5.4,35.5,19.6875,13.625,13.84375,-3.7,13.625,32.6
Saint Mary's,69.1,7.3,36.2,17.4516129,9.774193548,12.09677419,6.9,13.29032258,37.3
Saint Peter's,61.2,5.7,35.5,19.23529412,13.02941176,12.14705882,0.2,14.47058824,34.3
Sam Houston St.,74.1,7.6,35.5,20.34285714,14.34285714,13,7.3,18.11428571,32.9
Samford,69.3,6.4,35.6,20.53125,14.375,12.9375,-2.6,14.125,34.7
San Diego,64.7,6.2,35.6,19.93548387,13.48387097,11.77419355,-1,14,34.2
San Diego St.,61.8,5.3,35.7,14.05555556,13.05555556,11.38888889,3.3,12.13888889,32
San Francisco,69.2,6.3,35.7,20.1875,12.5625,11.75,0.7,13.9375,34.1
San Jose St.,53.7,6.5,35.7,18.26666667,11.46666667,14.2,-5.8,10.33333333,29.3
Santa Clara,63.3,6.9,35.7,18.6875,11.59375,10.59375,-4,11.96875,34.9
Savannah St.,56.7,3.4,35.8,19.74193548,16.90322581,16.5483871,-3.9,10.70967742,25.2
Seattle,62.4,6.9,35.8,16.82352941,10.88235294,13.70588235,3.8,11.97058824,38.8
Seton Hall,68.4,6.9,35.8,19.19354839,11.96774194,12.41935484,0.7,14.06451613,35
Siena,69.8,4.9,35.8,20.93548387,14.22580645,12.5483871,-1.4,16.64516129,33.2
SIU Edwardsville,68.2,7.1,35.8,18.5,13.64285714,13.39285714,-0.6,13.96428571,38
SMU,69.1,4.3,35.8,16.20588235,12.97058824,12.52941176,6.7,15.91176471,36.3
South Alabama,68.9,6.5,35.9,17.75757576,10.90909091,14.36363636,-1,16.27272727,33.4
South Carolina,65,5.5,35.9,19.21212121,13.81818182,12.84848485,2.3,15.03030303,30.1
