team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Alabama,Texas Tech,76,64,2013-11-14,0,False,False,118.8,100.0,64.4,.333,.275,.643,54.5,32.1,12.5,12.8,.608,21.5,45.8,.275,.508,18.3,61.3,.068
Alabama,Georgia State,75,58,2013-11-19,0,False,False,110.3,85.3,68.3,.481,.365,.587,63.8,40.0,14.7,15.8,.538,17.1,37.5,.365,.445,17.5,82.4,.164
Alabama,Duke,64,74,2013-11-27,0,True,False,83.1,96.1,77.4,.404,.211,.471,53.4,52.2,10.4,16.7,.421,19.2,27.3,.281,.490,22.0,88.0,.471
Alabama,Drexel,83,85,2013-11-29,3,True,False,103.8,106.3,58.3,.578,.234,.509,51.9,55.6,11.3,10.0,.453,17.5,45.0,.391,.448,14.8,59.0,.373
Alabama,North Florida,76,48,2013-12-04,0,False,False,110.1,69.6,68.7,.431,.328,.544,56.6,69.2,14.5,18.9,.526,13.8,36.1,.259,.360,19.0,75.0,.123
Alabama,South Florida,64,66,2013-12-07,0,False,True,100.0,103.1,64.0,.271,.237,.480,44.4,39.1,10.9,17.5,.424,9.6,29.4,.237,.462,14.8,62.1,.321
Alabama,Charleston Southern,59,45,2013-12-14,0,False,False,101.7,77.6,58.4,.744,.465,.507,51.7,53.3,17.2,23.1,.419,13.6,26.7,.535,.372,19.2,78.6,.302
Alabama,Wichita St,67,72,2013-12-17,0,False,False,104.7,112.5,63.6,.358,.377,.540,37.9,52.2,3.1,13.2,.500,11.5,18.8,.264,.470,15.1,61.5,.500
Alabama,Xavier,74,77,2013-12-21,0,False,False,112.1,116.7,65.8,.638,.404,.604,46.9,52.2,6.1,12.5,.574,11.7,23.1,.426,.437,7.4,63.2,.349
Alabama,UCLA,67,75,2013-12-28,0,False,True,93.1,104.2,72.3,.327,.423,.558,42.4,30.4,13.9,6.0,.529,21.2,11.1,.231,.500,16.1,68.8,.271
Alabama,Robert Morris,64,56,2014-01-04,0,False,False,101.6,88.9,63.1,.477,.318,.593,57.1,45.8,19.0,10.0,.602,22.0,29.2,.250,.545,26.6,84.0,.182
Alabama,Vanderbilt,68,63,2014-01-07,0,False,False,109.7,101.6,61.6,.365,.308,.557,44.2,52.0,12.9,6.1,.538,11.7,27.6,.231,.522,23.0,65.2,.326
Alabama,Georgia,58,66,2014-01-11,0,False,True,82.9,94.3,70.3,.442,.365,.461,41.7,36.8,12.9,12.5,.404,13.9,13.8,.308,.380,17.6,67.7,.674
Alabama,Mississippi State,80,61,2014-01-15,0,False,False,115.9,88.4,68.6,.281,.439,.619,54.7,56.7,10.1,15.0,.614,14.7,25.9,.175,.470,19.5,84.6,.280
Alabama,Missouri,47,68,2014-01-18,0,False,True,75.8,109.7,61.8,.458,.417,.402,46.9,64.3,3.2,13.5,.344,20.6,29.4,.292,.457,10.2,66.7,.532
Alabama,Florida,62,68,2014-01-23,0,False,False,100.0,109.7,62.0,.386,.211,.460,45.8,45.5,9.7,12.1,.404,9.5,35.3,.281,.459,11.6,55.3,.197
Alabama,LSU,82,80,2014-01-25,0,False,False,112.3,109.6,73.1,.500,.308,.637,46.6,66.7,9.6,8.7,.596,18.1,22.2,.385,.524,15.5,67.7,.242
Alabama,Auburn,55,74,2014-01-30,0,False,True,80.9,108.8,67.9,.377,.302,.440,45.9,26.3,7.4,10.3,.387,17.4,23.5,.264,.510,14.8,74.1,.431
Alabama,Tennessee,59,76,2014-02-01,0,False,False,101.7,131.0,57.9,.431,.294,.480,45.5,45.0,1.7,14.3,.422,10.3,30.0,.314,.573,7.8,64.0,.438
Alabama,Arkansas,58,65,2014-02-05,0,False,True,84.1,94.2,69.2,.339,.288,.423,46.7,47.6,5.8,4.5,.390,15.0,26.8,.203,.395,12.8,70.6,.351
Alabama,Florida,69,78,2014-02-08,0,False,True,109.5,123.8,63.0,.550,.275,.684,46.3,59.1,12.7,12.1,.625,22.0,15.8,.475,.680,18.6,72.7,.200
Alabama,Ole Miss,67,64,2014-02-11,0,False,False,95.7,91.4,69.7,.414,.293,.483,55.2,41.7,11.4,19.4,.440,14.9,35.1,.276,.446,15.7,80.0,.250
Alabama,South Carolina,66,67,2014-02-15,0,False,True,106.5,108.1,61.6,.721,.349,.572,43.5,61.1,11.3,14.7,.500,15.0,21.7,.535,.543,17.7,65.2,.340
Alabama,Texas A&M,48,63,2014-02-20,0,False,True,78.7,103.3,61.4,.348,.457,.448,43.8,52.9,4.9,15.9,.446,19.7,18.8,.152,.466,11.2,68.8,.155
Alabama,Missouri,80,73,2014-02-22,0,False,False,119.4,109.0,67.3,.617,.447,.658,42.0,59.3,10.4,9.4,.681,11.8,12.5,.340,.531,19.8,69.2,.458
Alabama,Ole Miss,67,79,2014-02-26,0,False,True,95.7,112.9,70.0,.583,.479,.546,34.4,60.0,10.0,2.7,.479,18.8,20.0,.438,.457,16.3,48.4,.448
Alabama,Auburn,73,57,2014-03-01,0,False,False,107.4,83.8,68.1,.469,.367,.609,45.5,54.2,8.8,14.3,.592,18.0,24.1,.306,.312,13.3,58.3,.203
Alabama,Kentucky,48,55,2014-03-04,0,False,True,82.8,94.8,58.3,.220,.260,.435,37.1,36.8,3.4,4.8,.410,11.3,13.3,.140,.378,15.6,59.4,.367
Alabama,Arkansas,83,58,2014-03-08,0,False,False,122.1,85.3,68.2,.509,.302,.630,63.5,34.5,11.8,4.3,.604,15.6,39.3,.358,.406,20.3,82.9,.396
Alabama,LSU,56,68,2014-03-13,0,True,False,91.8,111.5,60.8,.520,.420,.449,39.7,44.4,13.1,3.1,.420,11.5,22.2,.280,.602,16.0,63.0,.056
