Name,TOFP,TOP,POSS,REBD,FTD,Three_D,REB,REBO,Three_O,FTO
NJIT,0.162088,0.178914,68.6737,0.686469,0.307045,0.330935,0.483838,0.269364,8.27586,20.6875
S Car State,0.171228,0.164971,66.8101,0.677766,0.256841,0.333893,0.471326,0.278399,5.51613,16.3197
SC Upstate,0.171459,0.141341,65.9082,0.685492,0.220389,0.319088,0.507867,0.336249,7.625,17.4959
N Colorado,0.170697,0.137429,67.9388,0.695484,0.281534,0.40177,0.492132,0.291872,6.71429,20.6068
N Iowa,0.167445,0.157957,59.5743,0.755142,0.20042,0.320669,0.519147,0.246528,7.34286,22.6368
IUPUI,0.183711,0.204857,67.0923,0.732363,0.284191,0.383367,0.508312,0.293233,4.06452,17.9339
N Carolina,0.150741,0.152228,71.5605,0.709199,0.270948,0.300487,0.551576,0.384351,4.84211,20.9981
Sac State,0.169608,0.146006,64.8367,0.699074,0.233487,0.348333,0.471987,0.255621,6.25806,21.1449
Dartmouth,0.185884,0.174791,64.5069,0.733493,0.2891,0.354244,0.50641,0.299889,5.96552,18.6027
La Salle,0.172642,0.172491,66.7602,0.703596,0.244409,0.31619,0.496035,0.275996,5.0303,20.1535
App State,0.149566,0.176073,68.1983,0.726244,0.271202,0.322718,0.499505,0.289446,6.41379,19.2643
TX A&M-CC,0.175052,0.167454,65.3395,0.683369,0.312832,0.322414,0.49012,0.288793,4.96875,26.4484
Tulsa,0.169953,0.150754,66.0455,0.74026,0.225249,0.332849,0.514261,0.295585,5.51515,21.5646
Fla Gulf Cst,0.146182,0.148907,67.6008,0.708709,0.253986,0.295798,0.514325,0.321875,5.93333,18.6881
Kansas,0.14814,0.163206,68.442,0.701422,0.247721,0.315315,0.527168,0.333333,5.91667,24.7574
Cleveland St,0.182525,0.162839,64.3754,0.727568,0.298009,0.362039,0.507565,0.312299,7.25,17.6213
Campbell,0.166309,0.174663,64.0504,0.715561,0.295607,0.346809,0.471978,0.265625,8.06897,17.7123
GA Southern,0.185895,0.154951,66.379,0.687006,0.229442,0.312388,0.498751,0.306695,7.21429,19.9611
Grand Canyon,0.138929,0.149523,66.3446,0.689462,0.266392,0.335968,0.46817,0.241935,6.4,22.9609
LA Lafayette,0.161231,0.175122,73.0542,0.745009,0.265623,0.322807,0.535819,0.330524,6.33333,22.7726
UC Riverside,0.162772,0.173795,67.4224,0.725173,0.293628,0.396896,0.503288,0.280172,6.48276,18.6165
N Hampshire,0.151744,0.164555,66.7754,0.779058,0.299874,0.31068,0.522034,0.248904,7.36667,19.2186
Clemson,0.151561,0.155615,64.9064,0.711088,0.232133,0.328042,0.515789,0.331307,5.51613,19.6312
Colorado,0.147269,0.168875,68.1379,0.744144,0.248011,0.353191,0.536091,0.328302,5.26471,23.3955
TN Martin,0.135073,0.16137,64.4078,0.758015,0.219603,0.354074,0.526725,0.291441,7.8125,18.3402
F Dickinson,0.193838,0.161701,69.9076,0.601942,0.333857,0.347222,0.425051,0.249215,6.89286,19.1579
Washington,0.142775,0.150729,68.3032,0.685658,0.235907,0.331461,0.494263,0.281412,6.22581,19.1272
CS Bakersfld,0.167451,0.169788,63.2358,0.754936,0.328736,0.365854,0.531234,0.323959,5.33333,22.1921
James Mad,0.152907,0.178489,65.8095,0.688109,0.234377,0.356835,0.494683,0.261853,6.90909,22.701
Kansas St,0.173999,0.179707,64.8387,0.703622,0.281896,0.33463,0.512343,0.308628,4.40625,23.8573
