Name,date,FTO,FTD,Three_O,Three_D,REBO,REBD,REB,TOP,TOFP,POSS
Loyola-Chi,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U Penn,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvard,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dartmouth,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yale,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hous St,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creighton,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lehigh,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colgate,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lafayette,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacific,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CS Fullerton,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bucknell,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holy Cross,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illinois,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan St,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio State,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Penn State,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purdue,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC Irvine,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cal St Nrdge,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UMKC,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Fran (NY),11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wagner,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacred Hrt,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monmouth,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIU-Brooklyn,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oral Roberts,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IUPUI,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W Illinois,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah State,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCSB,11/11/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
