Name,FTO,FTD,Three_O,Three_D,REBO,REBD,REB,TOP,TOFP,POSS
Denver,19.6922,0.27941,7.5,0.31592,0.276515,0.76661,0.53719,0.18085,0.14717,70.5299
Houston Bap,19.6829,0.289118,5.61538,0.346303,0.30206,0.71134,0.49835,0.180366,0.165077,73.8635
Syracuse,19.6688,0.20643,8.83333,0.319915,0.315412,0.685304,0.511261,0.151876,0.172253,70.3313
Texas,19.6516,0.210994,6.11765,0.296496,0.265537,0.714536,0.498767,0.170942,0.165315,71.5404
Stony Brook,19.6502,0.293301,8.4375,0.389655,0.285464,0.708423,0.477193,0.123591,0.173388,68.7016
Bryant,19.6368,0.284253,6.70588,0.353846,0.240708,0.702166,0.477551,0.156976,0.136837,73.6912
Ohio State,19.634,0.19952,6.22222,0.344186,0.279793,0.738059,0.518435,0.16465,0.16168,71.3049
St Johns,19.631,0.251351,9.42105,0.352632,0.271722,0.719814,0.492286,0.166426,0.169227,75.0691
Seton Hall,19.6289,0.273641,6.29412,0.325153,0.349153,0.769772,0.552988,0.169075,0.168115,73.1213
N Kentucky,19.6224,0.243902,8.94118,0.325658,0.323636,0.758437,0.542998,0.175426,0.136407,71.3471
UMKC,19.6071,0.280294,8.94444,0.339109,0.244514,0.661765,0.453195,0.176772,0.167293,76.5028
SE Missouri,19.5967,0.278489,7.94444,0.387701,0.226962,0.758333,0.468804,0.159143,0.196159,71.1569
Utah Val St,19.595,0.259399,8.53333,0.363924,0.205082,0.778777,0.490709,0.164598,0.148984,79.9525
St Josephs,19.5773,0.194925,5.6875,0.382423,0.298725,0.753507,0.510711,0.146198,0.162699,71.8305
Notre Dame,19.5275,0.182736,9.66667,0.327751,0.284436,0.717532,0.510522,0.120528,0.160417,69.9868
Washington,19.4555,0.268269,7.58824,0.391437,0.351005,0.739209,0.53274,0.149785,0.149813,75.8897
Lg Beach St,19.3924,0.280539,6.55556,0.405995,0.285714,0.691071,0.480156,0.183876,0.159561,75.3444
LA Tech,19.3912,0.193041,7.75,0.31,0.251546,0.782443,0.518083,0.166776,0.180434,72.1977
San Diego St,19.3352,0.208703,8.375,0.327536,0.272727,0.732177,0.504846,0.154674,0.170976,69.1742
IUPUI,19.2706,0.30265,8.11765,0.361963,0.289384,0.710938,0.497541,0.153291,0.160518,74.4809
LIU-Brooklyn,19.2684,0.269657,5.5,0.385757,0.365482,0.726465,0.538039,0.176075,0.172496,70.3514
James Mad,19.2557,0.272614,6.16667,0.332542,0.284333,0.773748,0.540901,0.211419,0.150792,67.5125
Sacred Hrt,19.2303,0.220234,5.78947,0.391101,0.269291,0.762128,0.519601,0.187442,0.156597,76.3599
VCU,19.2239,0.268375,6.33333,0.340278,0.287004,0.740418,0.516492,0.16787,0.198004,72.2479
Wm & Mary,19.2178,0.22889,8.71429,0.368852,0.233766,0.73428,0.500982,0.165282,0.127733,73.9643
Bowling Grn,19.1895,0.242069,6.875,0.345196,0.265709,0.719192,0.484927,0.16154,0.180039,73.9336
Rider,19.1739,0.247648,5.16667,0.312329,0.30848,0.734177,0.515901,0.163556,0.167488,75.9132
Kent State,19.169,0.248959,7.3125,0.362275,0.412811,0.703911,0.545826,0.161218,0.178039,74.6648
Montana,19.1493,0.300365,8.26316,0.340659,0.247191,0.750842,0.494226,0.143541,0.17106,70.3612
North Dakota,19.1351,0.303668,6.0,0.344538,0.227064,0.767059,0.492457,0.170238,0.165637,75.9779
AR Lit Rock,19.1325,0.231765,5.875,0.370149,0.298479,0.766529,0.511374,0.154933,0.177714,69.2539
Ball State,19.0672,0.278348,8.4375,0.321321,0.304348,0.719141,0.527211,0.1845,0.162001,75.0633
N Arizona,19.0593,0.237642,8.0625,0.345013,0.265993,0.716797,0.477087,0.163613,0.14862,73.7828
Buffalo,18.9843,0.30654,7.13333,0.358663,0.298077,0.738722,0.520034,0.175648,0.14664,76.2033
Utah,18.9747,0.225284,6.6,0.371237,0.291284,0.773737,0.545455,0.170782,0.156286,72.7283
